零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,CKD 包装尺寸L,CKD 包装尺寸L.1,CKD 包装尺寸L.2,CKD SNP
H97Y1302001BA,散热器支架总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,4.2,总装,纸箱,,,,,720.0,720.0,720.0,6.0
H97C3735002AA,副仪表板组合开关,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.12,总装,纸箱,0.079,125.03,43.4,27.01,720.0,720.0,720.0,48.0
H97A5519003AB,前地板后地毯总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,5.178,总装,天地盖纸箱,16.616,1931.34,1456.97,424.58,1480.0,1480.0,1480.0,6.0
1104221-RA51,油管双管夹Ⅰ,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,5.0,采购件,0.012,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H973602001,前碰传感器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,2.0,采购件,0.013（±1%）,总装,纸箱,0.02,35.34,24.3,36.49,360.0,360.0,360.0,48.0
H97E5006901BBBG03,后导流板总成合件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,3.689,总装,天地盖纸箱,3.28,1504,281,130,1480.0,1480.0,1480.0,6.0
H97A3602812BB,蓄电池传感器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,0.07,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A3718013AA,左前门照地灯,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.068,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A5701010AA,顶盖后横梁焊接总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,4.12,190,291,130,1180.0,1180.0,1180.0,8.0
H97A5512034AAJK05,右后门框上装饰件总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.232,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,24.0
H97Y1303087AA,水管三管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A6209001AB,后门限位器总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.194,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97D1303043AA,三通比例阀到三通水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,12.0
H97D8107001DA,前置蒸发器流入管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.605,总装,纸箱,,,,,1460.0,1460.0,1460.0,8.0
H97A5006060AB,右后门B柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.211,总装,纸箱,,,,,1120.0,1120.0,1120.0,16.0
H97A2804020AA,后保险杠上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.466,总装,纸箱,0.617,128.85,929.93,119.46,1030.0,1030.0,1030.0,12.0
H97C5505023AA,USB盖板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.06,总装,纸箱,,,,,720.0,720.0,720.0,24.0
H97D3506003AA,制动管路3号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,B,1.0,采购件,0.14,总装,纸箱,0.053,230,111,254,400.0,400.0,400.0,12.0
H97A6309011AA,背门左撑杆上支架总成－带球头销,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,0.12,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97X3629005AA,后左角雷达安装支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.15,总装,纸箱,0.08,129,100,88,360.0,360.0,360.0,48.0
H97E6107022AA,右前门密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.411,总装,天地盖纸箱,,1341.8,1072.33,216.09,980.0,980.0,980.0,48.0
H97C1205007AA,催化器密封垫2,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,1.0,采购件,0.02,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97D1303022AA,PTC1到暖芯水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,24.0
H97A6207012AA,右后门窗台内密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.132,总装,纸箱,,,,,860.0,860.0,860.0,48.0
H97D6203007BA,左后门玻璃总成,PE袋,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,A,1.0,采购件,4,总装,轻钢,5.85,1055.65,195.76,998.05,980.0,980.0,980.0,24.0
H97A5515020ABJK05,后背门右侧装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,0.276,479,254,216,720.0,720.0,720.0,6.0
H97A5533007AB,左后吹足管道后段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.135,总装,纸箱,0.1644,236,182,95,720.0,720.0,720.0,24.0
H97D7005010ACAE06,右后排座椅靠背总成,,,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,B,1.0,采购件,,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,16.0
H97A5520090ADTE15,右B柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.375,总装,天地盖纸箱,0.743,570,272,180,1480.0,1480.0,1480.0,16.0
H97A5512900BCUK02,左后门内饰板合件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,3.497,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,8.0
H97A3506005AA,制动管路5号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.06,总装,纸箱,0.06,378,129,148,720.0,720.0,720.0,48.0
H97A6205007AA,左后门锁体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.405,总装,纸箱,,,,,720.0,720.0,720.0,12.0
H97B2309003BA,前连接轴总成,防锈袋,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,2.59,总装,天地盖纸箱,/,/,/,/,1480.0,1480.0,1480.0,48.0
H97A6107027AA,左前门防水膜,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.043,总装,纸箱,0.073,313.65,44.68,428.41,720.0,720.0,720.0,48.0
H97A2941007AC,左前空气弹簧管路后段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.168,总装,天地盖纸箱,0.169,3435.67,299.78,1552.86,1180.0,1180.0,1180.0,48.0
H97C3506010AA,左前制动软管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.13,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97A7010003AA,后排座椅靠背总成中间支架,,,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,C,1.0,采购件,0.682,总装,纸箱,,,,,360.0,360.0,360.0,12.0
H97A3506006AA,制动管路6号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.052,总装,纸箱,0.055,322,174,134,720.0,720.0,720.0,48.0
H97C3602800BA,PM2.5传感器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,,总装,纸箱,/,/,/,/,360.0,360.0,360.0,48.0
H97E6207018AA,右后门密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.4,总装,天地盖纸箱,,,,,980.0,980.0,980.0,48.0
H97A3711001BG,左前照灯,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,4.7,总装,纸箱,6,682.21,454.14,301.16,720.0,720.0,720.0,2.0
H97X3724121AA,后背门线束总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,,,,,360.0,360.0,360.0,24.0
H97Y8202901AABH08,右外后视镜合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,1.69,总装,天地盖纸箱,1.65,418.27,354.1,216.63,1320.0,1320.0,1320.0,16.0
H97C5013011AA,行李箱地板外隔音垫,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.3,总装,天地盖纸箱,0.143,688.69,958.95,187.71,1480.0,1480.0,1480.0,48.0
H97A5006045AD,左前门B柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.202,总装,纸箱,,,,,1120.0,1120.0,1120.0,16.0
H97A5533001AA,左后吹足管道前段总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.11,总装,纸箱,0.2804,386,329,192,720.0,720.0,720.0,24.0
H97X5501005XBAE01,仪表板总成,PE袋,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,自制件,,总装,铁架,,1708,817,750,1700.0,1700.0,1700.0,3.0
3741100-RA01,前雨刮电机及支架总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,2.135,总装,天地盖纸箱,2.135,579,195,145,980.0,980.0,980.0,48.0
H97A2941014AD,气泵主储气罐连接管路,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.044,总装,纸箱,0.039,371.86,444.84,227.34,360.0,360.0,360.0,12.0
H97A2941010AB,右前带支架高度传感器总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,,总装,纸箱,0.095,98.21,86.05,126.38,500.0,500.0,500.0,24.0
H97A5006055AB,左后门B柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.211,总装,纸箱,,,,,1120.0,1120.0,1120.0,16.0
H97C3901001AA,拖钩,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.608,228,56,22,560.0,560.0,560.0,24.0
